refID,url,reference_number,procuring_entity,title,area_of_delivery,solicitation_number,procurement_mode,classification,category,  abc_php  ,delivery_period,status,date_published,closing_datetime,last_updated,contact_person,contact_address,contact_email,contact_phone,description
12493551,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12493551&DirectFrom=OpenOpp&Type=category&BusCatID=64,12493551,NATIONAL MUSEUM OF THE PHILIPPINES- MANILA METRO MANILA,Exhibition and Fit-out of Various National Museum of the Philippines – Central and Regional Sites – Natural History Exhibition at NMP Bohol and Supply and Delivery of Audio-Visual Content for Natural,(Independent City),NMPBAC-PB-2025-10-05,Public Bidding,Goods - General Support Services,"Editorial, Design, Graphic and Fine Art Services"," 5,000,000.00 ",,Status,10/16/25,11/7/25,10/16/25,"ATTY. JOY ANGELA C. AGCAOILI
Head, BAC Secretariat
Padre Burgos Avenue
Manila
Metro Manila
Philippines 1000
63-02-82981100 Ext.1014

bac@nationalmuseum.gov.ph",,"Reference Number	12493551
  Procuring Entity	NATIONAL MUSEUM OF THE PHILIPPINES- MANILA METRO MANILA
  Title	Exhibition and Fit-out of Various National Museum of the Philippines – Central and Regional Sites – Natural History Exhibition at NMP Bohol and Supply and Delivery of Audio-Visual Content for Natural
  Area of Delivery	(Independent City)	   Printable Version

Solicitation Number:	NMPBAC-PB-2025-10-05
Trade Agreement:	Implementing Rules and Regulations
Procurement Mode:	Public Bidding
Classification:	Goods - General Support Services
Category:	Editorial, Design, Graphic and Fine Art Services
Approved Budget for the Contract:	PHP 5,000,000.00
Contract Duration:	120 Day/s
Client Agency:	


Contact Person:	ATTY. JOY ANGELA C. AGCAOILI
Head, BAC Secretariat
Padre Burgos Avenue
Manila
Metro Manila
Philippines 1000
63-02-82981100 Ext.1014

bac@nationalmuseum.gov.ph
	Status	

Active


Associated Components	Order
Bid Supplements	
0

Document Request List	
5

Date Published	16/10/2025
Last Updated / Time	16/10/2025 12:00 AM
Closing Date / Time	07/11/2025 11:00 AM


Description
1. The National Museum of the Philippines, through the Continuing Fund for F.Y. 2024 intends to apply the sum and project indicated below, being the ABC to payment under the contract for each lot:

Lot # Procurement Project Approved Budget for the Contract
1 Natural History Exhibition at NMP Bohol PHP 4,500,000.00
2 Supply and Delivery of Audio-Visual Content for Natural History Gallery at NMP Bohol PHP 500,000.00
Total PHP 5,000,000.00

with identification number NMPBAC-PB-2025-10-05. Bids received in excess of the ABC shall be automatically rejected at bid opening.

2. The National Museum of the Philippines now invites bids for the above Procurement Project. Delivery of the Goods is required within:

Lot 1 120 working days
Lot 2 120 working days

Bidders should have completed, within five (5) years from the date of submission and receipt of bids, a contract similar to the Project. The description of an eligible bidder is contained in the Bidding Documents, particularly, in Section II (Instructions to Bidders).

3. Bidding will be conducted through open competitive bidding procedures using a non-discretionary “pass/fail” criterion as specified in the 2016 revised Implementing Rules and Regulations (IRR) of Republic Act (RA) No. 9184.

“Bidding is restricted to Filipino citizens/sole proprietorships, partnerships, or organizations with at least sixty percent (60%) interest or outstanding capital stock belonging to citizens of the Philippines, and to citizens or organizations of a country the laws or regulations of which grant similar rights or privileges to Filipino citizens, pursuant to RA No. 5183.”

4. Prospective Bidders may obtain further information from National Museum of the Philippines and inspect the Bidding Documents at the address given below during Mondays to Fridays, from 9:30 a.m. to 3:30 p.m.

5. A complete set of Bidding Documents may be acquired by interested Bidders on October 16, 2025, from the given address and website(s) below and upon payment of the applicable fee for the Bidding Documents, pursuant to the latest Guidelines issued by the GPPB, in the amount of:

Lot Amount
1 PHP 5,000.00
2 PHP 500.00

The Procuring Entity shall allow the bidder to present its proof of payment for the fees in person.

6. The National Museum of the Philippines will hold a Pre-Bid Conference on October 24, 2025, at 11:00 A.M. at 2nd Floor BAC Room North Annex (Motorpool) Building which shall be open to prospective bidders.

7. Bids must be duly received by the BAC Secretariat through manual submission at the office address indicated below, late bids shall not be accepted.

8. All Bids must be accompanied by a bid security in any of the acceptable forms and in the amount stated in ITB Clause 14.

9. Bid opening shall be on November 7, 2025, at 11:00 A.M. at the given address below. Bids will be opened in the presence of the bidders’ representatives who choose to attend the activity.

10. Schedule of Activities

Date Schedule of Activities
October 16, 2025 Posting / Advertisement
October 24, 2025 Pre-Bidding Conference

11:00 A.M. at 2nd Flr. BAC Room, North Annex of the National Museum of Fine Arts, Padre Burgos St. Ermita, Manila
October 27, 2025 Deadline for submission of bidder’s written queries
October 30, 2025 Issuance of Bid / Supplemental Bulletin/s, if any
November 7, 2025 Submission & Opening of Bids

11:00 A.M. at 2nd Flr. BAC Room, North Annex of the National Museum of Fine Arts, Padre Burgos St. Ermita, Manila
November 10-14, 2025 Bid Evaluation
November 17-21, 2025 Post Qualification Evaluation
November 26, 2025 Issuance of Notice of Award

11. The National Museum of the Philippines reserves the right to reject any and all bids, declare a failure of bidding, or not award the contract at any time prior to contract award in accordance with Sections 35.6 and 41 of the 2016 revised IRR of RA No. 9184, without thereby incurring any liability to the affected bidder or bidders.

12. For further information, please refer to:

Atty. Joy Angela C. Agcaoili
Head, BAC Secretariat
2nd Floor, BAC Room, North Annex of the
National Museum of Fine Arts Building (Motorpool)
Padre Burgos Street, Manila 1000
Website: www.nationalmuseum.gov.ph
Tel. No. 8298-1100 Local: 1014
Email Address: bac@nationalmuseum.gov.ph


(SGD)
HONEY P. BESO
Chairperson, Bids and Awards Committee – Exhibition, Publication and Procurement of Heritage Assets under R.A. 11333




Pre-bid Conference


Date

	

Time

	

Venue


24/10/2025	11:00 AM	2nd Flr. BAC Room, North Annex of the National Museum of Fine Arts, Padre Burgos St. Ermita, Manila





Created by	ATTY. JOY ANGELA C. AGCAOILI
Date Created	15/10/2025










The PhilGEPS team is not responsible for any typographical errors or misinformation presented in the system. PhilGEPS only displays information provided for by its clients, and any queries regarding the postings should be directed to the contact person/s of the concerned party.",,Description
12480605,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12480605&DirectFrom=OpenOpp&Type=category&BusCatID=28,12480605,NATIONAL FOOD AUTHORITY - CARAGA REGION,SUPPLY AND DELIVERY OF ADDITIONAL BRAND-NEW WOVEN POLYPROPYLENE (WPP) EMPTY SACKS (MTS) FOR PALAY AND RICE OF NFA CARAGA REGION CY 202,(Independent City),25-1012-015,Public Bidding,Goods,Packaging Supplies and Materials," 3,700,000.00 ",45 Day/s,Status,10/17/25,11/5/25,10/17/25,"ROEL DEGAL CAPERIG
Procurement Management Officer IV
Caraga Regional Office
J. ROSALES AVENUE BRGY. IMADEJAS, BUTUAN CITY
Butuan City
Agusan Del Norte
Philippines 8600
63-85-8179233
63-85-8179233
bac.caraga@nfa.gov.ph",,,,Description
12466321,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12466321&DirectFrom=OpenOpp&Type=category&BusCatID=71,12466321,PHILIPPINE HEALTH INSURANCE CORPORATION - REGION XI,Procurement of Marketing Collaterals and Information Materials for PRO XI C.Y 2025 (2nd Semester),(Independent City),N-25-10-107,Public Bidding,Goods,Corporate Giveaways," 1,356,540.60 ",30 Day/s,Status,10/8/25,10/28/25,10/8/25,"Gary S Velayo
Administrative Officer
RC Reyes Building, Quimpo Blvd.
Matina
Davao City
Davao Del Sur
Philippines 8000
63-82-2992075
63-82-2962265
region11@philhealth.gov.ph",,,,Description
12517260,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12517260&DirectFrom=OpenOpp&Type=category&BusCatID=129,12517260,NATIONAL COMMISSION FOR CULTURE AND THE ARTS,Procurement of Year-end tokens for Diplomatic Corps and other Partner Agencies,(Independent City),RFQ 25-273,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Tokens and Awards," 177,500.00 ",0 Day/s,Status,10/23/25,10/27/25,10/23/25,"Mark Anthony D. Dulatre
bids@ncca.gov.ph
633 Gen. Luna St.,
Intramuros,
Manila
Metro Manila
Philippines 1002
63-2-85272192

bids@ncca.gov.ph",,,,Description
12517210,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12517210&DirectFrom=OpenOpp&Type=category&BusCatID=129,12517210,NATIONAL COMMISSION FOR CULTURE AND THE ARTS,Procurement of Year-end tokens for Diplomatic Corps and other Partner Agencies,(Independent City),RFQ 25-272,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Tokens and Awards," 140,000.00 ",0 Day/s,Status,10/23/25,10/27/25,10/23/25,"Mark Anthony D. Dulatre
bids@ncca.gov.ph
633 Gen. Luna St.,
Intramuros,
Manila
Metro Manila
Philippines 1002
63-2-85272192

bids@ncca.gov.ph",,,,Description
12514844,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12514844&DirectFrom=OpenOpp&Type=category&BusCatID=29,12514844,DEPARTMENT OF HEALTH - CARAGA,Printing Services,Agusan Del Norte,2025-10-1067,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Printing Services," 552,400.00 ",30 Day/s,Status,10/23/25,10/27/25,10/23/25,"Mark Anthony P. Bernaldez
Administrative Assistant III
Pizarro Street, Corner Narra Road
Butuan City
Agusan Del Norte
Philippines 8600
63-2-8171068

doh_procurement@yahoo.com",,,,Description
12514864,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12514864&DirectFrom=OpenOpp&Type=category&BusCatID=29,12514864,DEPARTMENT OF HEALTH - CARAGA,Printing Services,Agusan Del Norte,2025-10-1058,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Printing Services," 447,500.00 ",30 Day/s,Status,10/23/25,10/27/25,10/23/25,"Mark Anthony P. Bernaldez
Administrative Assistant III
Pizarro Street, Corner Narra Road
Butuan City
Agusan Del Norte
Philippines 8600
63-2-8171068

doh_procurement@yahoo.com",,,,Description
12514817,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12514817&DirectFrom=OpenOpp&Type=category&BusCatID=29,12514817,DEPARTMENT OF HEALTH - CARAGA,Printing Services,Agusan Del Norte,2025-10-1089,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Printing Services," 236,600.00 ",30 Day/s,Status,10/23/25,10/27/25,10/23/25,"Mark Anthony P. Bernaldez
Administrative Assistant III
Pizarro Street, Corner Narra Road
Butuan City
Agusan Del Norte
Philippines 8600
63-2-8171068

doh_procurement@yahoo.com",,,,Description
12510326,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12510326&DirectFrom=OpenOpp&Type=category&BusCatID=129,12510326,DEPARTMENT OF EDUCATION - DIVISION OF AGUSAN DEL NORTE,"PROCUREMENT OF TROPHIES FOR THE CONDUCT OF 2026 DIVISION INTEGRATED STUDENTS ACTIVITIES (DISA) ON OCTOBER 28-30, 2025 @ NASIPIT, AGUSAN DEL NORTE.",Agusan Del Norte,25-636,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Tokens and Awards," 112,400.00 ",4 Day/s,Status,10/22/25,10/27/25,10/22/25,"GENEVEVE S. APATAN
BAC Secretariat Head
J.P. Rosales Avenue,
Butuan City
Agusan Del Norte
Philippines 8600
63-917-7710974
63-963-9643919
bac.depedagnor@deped.gov.ph",,,,Description
12508956,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12508956&DirectFrom=OpenOpp&Type=category&BusCatID=134,12508956,BICOL UNIVERSITY,Supply and delivery of Psychological Test materials to be used in BUCSSP Psychology Department,Albay,CSSP-2025-010,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Educational Materials and Supplies," 490,000.00 ",15 Day/s,Status,10/23/25,10/27/25,10/23/25,"Cristina A. Militante
Bac secretary
Rizal St.,Legaspi City
Legazpi City
Albay
Philippines 4500
63-52-2040482

bu-daragabac@bicol-u.edu.ph",,,,Description
