refID,url,reference_number,procuring_entity,title,area_of_delivery,solicitation_number,procurement_mode,classification,category,abc_php,delivery_period,status,date_published,closing_datetime,last_updated,contact_person,contact_position,contact_address,contact_email,contact_phone
12764672,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12764672&DirectFrom=OpenOpp&Type=category&BusCatID=64,12764672,NATIONAL MUSEUM OF THE PHILIPPINES- MANILA METRO MANILA,"Exhibitions and Fit-out of Various National Museum of the Philippines - Central and Regional Sites - Supply and Delivery of Goods and Services, and Fit-out of the NMP Baler - Small and Big Galleries a",Aurora,NMPBAC-PB-2026-02-01,Public Bidding,Goods - General Support Services,"Editorial, Design, Graphic and Fine Art Services",30052915.0,,Status,2026-02-06,2026-02-25,2026-02-06,ATTY. JOY ANGELA C. AGCAOILI,"Head, BAC Secretariat","Padre Burgos Avenue, Manila, Metro Manila, Philippines 1000, 63-02-82981100 Ext.1014",bac@nationalmuseum.gov.ph,02-82981100
12764878,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12764878&DirectFrom=OpenOpp&Type=category&BusCatID=64,12764878,NATIONAL MUSEUM OF THE PHILIPPINES- MANILA METRO MANILA,"Exhibition and Fit-out of Various National Museum of the Philippines – Central and Regional Sites – Supply and Delivery of Goods, Services, and Fit-out at NMP Bohol",Bohol,NMPBAC-PB-2026-02-03,Public Bidding,Goods - General Support Services,"Editorial, Design, Graphic and Fine Art Services",5000000.0,,Status,2026-02-06,2026-02-25,2026-02-06,ATTY. JOY ANGELA C. AGCAOILI,"Head, BAC Secretariat","Padre Burgos Avenue, Manila, Metro Manila, Philippines 1000, 63-02-82981100 Ext.1014",bac@nationalmuseum.gov.ph,02-82981100
12783642,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12783642&DirectFrom=OpenOpp&Type=category&BusCatID=150,12783642,DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT - REGION II,"Procurement of 250,000 pcs of Photocopy of PSP Intake Sheet, A4 etc. for CIS & Satelite Offices use",Cagayan,2026-02-0007,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Reproduction Services,562500.0,0 Day/s,Status,2026-02-17,2026-02-20,2026-02-17,Ma. Socorro Lacambra Domingo,Administrative Officer IV,"Field Office 02, Regional Center, Barangay Carig, Tuguegarao City, Cagayan, Philippines 3500, 63-78-3041004, 63-78-3040586",bacsec.fo2@dswd.gov.ph,78-3041004 / 78-3040586
12784943,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12784943&DirectFrom=OpenOpp&Type=category&BusCatID=134,12784943,"BARANGAY MALAGASANG II-B - CITY OF IMUS, CAVITE",PURCHASE OF SCHOOL SUPPLIES,Cavite,GF-G-M2B-2026-008,Public Bidding,Goods,Educational Materials and Supplies,480000.0,12 Day/s,Status,2026-02-18,2026-03-02,2026-02-18,Lenie H Andallon,,"Punong Barangay, Malagasang II-B,, Imus, Cavite, Philippines",lenieandallon22@gmail.com,63-935-1631271
12783706,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12783706&DirectFrom=OpenOpp&Type=category&BusCatID=129,12783706,HOME DEVELOPMENT MUTUAL FUND - REGION VII,"Supply and Delivery of 3,500 pcs. of Bifold Card Holder for Clients for Y2026 National Women's Month Celebration of Pag-IBIG Fund",Cebu,26-01-008-ATAS,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Tokens and Awards,525000.0,45 Day/s,Status,2026-02-18,2026-02-23,2026-02-18,Israel Pilarca Quinco,Administrative Services Officer III,"Pag-IBIG Fund WT CorporateTower,, Cebu City, Cebu, Philippines, 63-2-63-32-4122175 E",israelquincoimg@gmail.com,32-4122175
12785529,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12785529&DirectFrom=OpenOpp&Type=category&BusCatID=29,12785529,"CITY OF ORMOC, LEYTE","Booklet (Medicines and Grocery with LGU logo and picture of Mayor) for the Ormoc City Person with Disability Affairs Office, Ormoc City.",Leyte,260522,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Printing Services,200000.0,30 Day/s,Status,2026-02-18,2026-02-23,2026-02-18,Ma. Judith Tan Sta. Iglesia,BAC Secretariat,"2nd /F, New City Hall Bldg., Aunubing ""Y"" St., Ormoc City, Leyte, Philippines 6541, 63-832-8888 Ext.1123",bac.ormoc@gmail.com,63-832-8888
12787241,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12787241&DirectFrom=OpenOpp&Type=category&BusCatID=28,12787241,CENTER FOR HEALTH DEVELOPMENT - REGION IV-B (MIMAROPA),INVITATION TO BID FOR COMPETITIVE BIDDING FOR THE SUPPLY AND DELIVERY OF TOTE BAG HYGIENE KIT AND BHW PREGNANCY TRACKING KIT (Per Lot Bid) under RBAC II-2026-005,Metro Manila,RBAC II-2026-005,Public Bidding,Goods,Packaging Supplies and Materials,3808800.0,30 Day/s,Status,2026-02-18,2026-03-11,2026-02-18,"PROCUREMENT MANAGEMENT UNIT
ADMINISTRATIVE OFFICER V
Q.M.M.C. Comp., cor. P. Tuazon & Katipunan Rd
Quezon City
Metro Manila
Philippines 1109
63-2-89120195 Ext.424
63-2-89127596
procurement@mimaropa.doh.gov.ph",PROCUREMENT MANAGEMENT UNIT,"ADMINISTRATIVE OFFICER V, Q.M.M.C. Comp., cor. P. Tuazon & Katipunan Rd, Quezon City, Metro Manila, Philippines 1109, 63-2-89120195 Ext.424, 63-2-89127596",procurement@mimaropa.doh.gov.ph,2-89120195 / 2-89127596
12783379,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12783379&DirectFrom=OpenOpp&Type=category&BusCatID=71,12783379,LAND TRANSPORTATION AND FRANCHISING REGULATORY BOARD - MAIN,Supply and Delivery of Polo Shirt Women's Month Celebration 2026,Metro Manila,LTFR -2026-02-013,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Corporate Giveaways,184800.0,0 Day/s,Status,2026-02-17,2026-02-20,2026-02-17,Evelyn G Orcajada,Administrative Officers (Supply Officers),"East Avenue, Diliman,, Quezon City, Metro Manila, Philippines 1101, 63-2-85297111 Ext.832, 63-2-85297128",procurement@ltfrb.gov.ph,2-85297111 / 2-85297128
12786618,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12786618&DirectFrom=OpenOpp&Type=category&BusCatID=51,12786618,EUSEBIO R. QUITCO ELEMENTARY SCHOOL,SIIF- ICT OFFICE SUPPLIES,Negros Occidental,2026-004,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Printing Supplies,50000.0,10 Day/s,Status,2026-02-18,2026-02-23,2026-02-18,MICHAEL CALOG TILANAS,HEAD TEACHER II,"Purok Lampunaya, Brgy. Tibsoc San Enrique, Negros Occidental, San Enrique, Negros Occidental, Philippines 6104, 63-9-934145440",michael.tilanas@deped.gov.ph,9-934145440
12783524,https://notices.philgeps.gov.ph/GEPSNONPILOT/Tender/SplashBidNoticeAbstractUI.aspx?menuIndex=3&refID=12783524&DirectFrom=OpenOpp&Type=category&BusCatID=150,12783524,"MUNICIPALITY OF BAGABAG, NUEVA VIZCAYA",SERVICES FOR COCONUT HUSK PROCESSING PROJECT,Nueva Vizcaya,RFQ-004-2026,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Goods,Reproduction Services,250000.0,3 Day/s,Status,2026-02-17,2026-02-20,2026-02-17,Maryflor C Bragado,Computer Operator I,"Bagabag, Bagabag, Nueva Vizcaya, Philippines 3711, 63-78-3212880, 63-78-3920292",mcbragado_06@yahoo.com,78-3212880 / 78-3920292
